SUDDATE;тройка;ОСО;Комиссия НКВД СССР и Прокурора СССР;судебный орган;Коллегия ОГПУ;решение др, органов гос,власти;ВКВС СССР;двойка;УНКГБ Витебской области;Тройка при ПП ОГПУ по БВО;УМГБ Кировской области;УНКВД Горьковской области;решение исполкома;УНКВД по Барановичской обл,;МВД Коми АССР;Следгруппа НКВД-НКГБ Коми АССР;УМВД Кировской области;УНКВД ПО БАРАНОВИЧСКОЙ ОБЛАСТИ;УНКГБ по Витебской области;9;Военследователь Особого отделения ВЧК при 6 стр,дивизии;УГБ Полоцкого ОКРО НКВД БССР;УМГБ по Гродненской обл,;Барановичский облсуд;ВТ Северо-Кавказский в/о;Кол, по угол, дел, Витебского обл, суда;НКГБ БССР;Начальник УНКВД Витебской области;Начальник УНКВД по Витебской области;ОО НКВД в/с 9467;Оршанский ГО НКВД БССР;Особое Совещание при Коллегии ОГПУ;Особый отдел РВС 15 армии;Постановл, Полоцкого ОО и 13 ПО ОГПУ;Постановление ОО НКВД в/с 9467;Следгруппа МВД-МГБ Коми АССР;Следгруппа НКВД-НКГБ при Севжелдорлаге;Следгруппой НКВД-НКГБ Коми АССР;УМГБ Витебской области;УМГБ Полоцкой области;УМГБ по Барановичской обл,;УНКВД Витебской области;УНКГБ БССР по Витебской обл,;УНКГБ Кировской области;УНКГБ по Барановичской обл,;14-й погранотряд;16 погранотряд МВД БО;16 погранотряд войск НКВД;Августовский РО НКВД;Бигосовский погранотряд НКВД;ВКВС;ВП БВО по Полоцкой обл,;ВТ 8 гв,армии;ВТ Московский военный округ;ВТ Северо -Кавказского в/о;ВТ войск МВД Витебской области;ВТ войск МВД Гродненской обл,;ВТ войск МГБ по Гродненской обл,;ВТ войск НКВД Белорусского округа;ВТ войск НКВД Витебской обл,;ВТ войск НКВД Гродненской обл,;Ветринский РО НКВД;Витебский областной суд;Витоперсектор ПП ОГПУ БССР;Витсектор НКВД БССР;Воен,следов,особ,отдела ВЧКпри Реввоенсовете 16 армии;Военная Прокуратура 138 ВП;Военный Прокурор МинВО по Витебской обл,;Военный Трибунал Витебского гарнизона;Военный Трибунал в/МВД Витебской области;Военный Трибунал войск НКВД Витебской обл;Военный прокурор 49 СК;Военный прокурор 5 ударн,армии;Военный прокурор Краснознаменного Балт,ф,;Военный прокурор Московского в/о;Военный прокурор по Витебской области;Военный трибунал 133 стрелковой дивизии;Городокский РО НКВД Витебской области;Городоский РО УНКВД Витебской обл,;Дорожно-трансп,отдел НКВД Белост,ж,д,;Дорожно-транспортный отдел НКВД Белост,ж,;Зам,Полоцкого окр, прокурора по спецделам;Зам,генпрокурора СССР;Заседание ВТ Западного фронта;Кол, по угол,дел,Витебского облсуда;Кол,по угол,дел, Витебского обл,суда;Кол,по угол,дел, Витебского облсуда;Лепельский ОКРО НКВД;Лепельский ОКРО НКВД БССР;Лиозненский РО НКГБ Витебской области;МГБ БССР;МГБ Коми АССР;Нач, УМГБ по Полоцкой области;"ОКР ""Смерш"" лагеря НКО 247";ОО 15 армии;ОО ВЧК 16 Армии;ОО ГУГБ НКВД БССР в/с 5918;ОО ГУГБ НКВД в/с 4569;ОО ГУГБ НКВД в/с 5640;ОО ГУГБ НКВД в/ч 2646;ОО ГУГБ НКВД при 50 стрелковой дивизии;ОО НКВД 2 ОКА;ОО НКВД БОВО;ОО НКВД Сев-Кавказского военного округа;ОО НКВД в/с 4569;ОО НКВД в/с 4596;ОО НКВД в/с 5918;ОО НКВД в/с 5971;ОО НКВД в/с 6641;ОО Полоцкого ОКРО НКВД;ОО УГБ Брянского гор, УНКВД;ОО ЧК 16 армии;Оперсектор ПП ОГПУ БССР по Витебской обл,;Особое Совещание при МГБ СССР;Особое отделение Ленинградского ВО;Особый Отдел 16-й армии;Особый отдел 15 армии;Особый отдел НКВД ЗабВО;Особый отдел НКВД УралВО;Особым отделом НКВД СССР Приволжского ВО;Пов,воен,прокурора БВО по Витебской обл,;Полоцкий ГО НКВД;Полоцкий ГО НКВД БССР;Полоцкий МКО НКГБ;Полоцкий МНО НКГБ;Полоцкий МХО НКГБ;Полоцкое ОО НКВД;Пом,Главного военного прокурора Красной Армии;Пом,военного прокурора Белорусского в/окр,;Пом,военного прокурора округа;Пост,ОО Витоперсектора ПП ОГПУ по БССР;Пост,ОО НКВД в/с5971 уг,дело прекращено,;Пост,УНКГБ Витебск,обл, угол,дело прекращ;Пост,следователя УМГБ по Кировской обл,;Постан, Полоцкого ОО и 13 ПО ОГПУ;Постан,Витебского сектора НКВД БССР;Постан,Мстиславльского РО НКВД БССРэ;Постан,НКВД БССР;Постановл,пом,Военного прокурора ВС СССР;Постановление Военной Прокуратуры БОВО;Постановление Лепельского ГО НКВД;Постановление УМГБ Витебской обл,;Постановление УМГБ Витебской области;Прокуратура Западной ж/д;Прокуратура СССР;Прокурор БВО;Прокурор Гродненской обл,;Прокурор Лидского уезда;Прокурор Оршанского округа;Прокурор войск МВД БО;Прокурором Вит, обл, дело прекращено,;След, отдел УНКГБ Витебской области;Следгруппа НКВД НКГБ Коми АССР;Следователь УКГБ по Витебской области;Следователь УМГБ по Витебской области;Следователь УНКВД Витебской области;Следователь УНКВД Кировской области;Следователь УНКВД по Витебской области;Следователь УНКВД по Кировской области;Следователь УНКГБ Витебской области;Следователь УНКГБ Кировской области;Следователь УНКГБ по Витебской области;Следователь УНКГБ по Кировской обл,;Сулебн,кол,по угол,дел,Витебского облсуда;ТО НКВД Сталинградской жел, дороги;ТО НКГБ М,-Окружной ж/д;Трансп,отделение НКГБ Брест-Литовской ж,д;Тройка ПП ОГПУ по БВО;Тройка при ПП ОГПУ БВО;Тройка при ПП ОГПУ по БССР;УГБ НКВД БССР;УГБ Полоцкого ОКРО НКВД;УГБ Полоцкого ОО НКВД;УКГБ Витебской области;УМВД Витебской области;УМВД Молодечненской обл,;УМВД Полоцкой области;УМГБ Молодечненской обл,;УМГБ по Гродненской области;УНКВД Кировской области;УНКВД по Гродненской области;УНКГБ по Барановичской области;УНКГБ по Белостокской обл,;Упр, НКВД Горьковской области;Управление МГБ по Витебской области;Управление НКГБ Витебской области;Управление контразведки МГБ Московск,ВО;ЧК;Щучинский отдел НКВД БССР;особый отдел ГУГБ НКВД Забайк,в/округ;по решению Особого отдела Зап, фронта;следствие прекращено;ВК ВС СССР;Военный Трибунал в/НКВД;Министр внутренних дел БССР;
1919;1;3;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1920;20;15;1;22;48;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
1921;9;3;1;5;116;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2
1922;1;0;5;9;13;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
1923;0;0;7;3;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
1924;0;77;20;10;22;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
1925;0;91;0;17;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
1926;0;72;0;19;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
1927;76;102;1;6;25;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
1928;70;155;0;1;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
1929;2;1563;2;6;917;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
1930;4289;273;2;4;299;22;0;1;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
1931;1207;215;1;42;240;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
